presencia,bio_11,bio_12,bio_13,bio_14,bio_4,bio_5,bio_7
0,241,1979,288,25,676,319,149
0,255,1683,222,53,533,332,140
1,243,3152,331,195,475,309,113
0,246,1998,357,5,550,344,189
1,249,3059,367,100,723,316,111
0,239,2598,349,83,702,317,144
1,239,1788,302,2,836,351,205
0,234,2230,320,53,1073,324,159
0,244,2404,409,4,580,357,207
0,225,2940,406,113,697,304,141
0,236,2631,401,81,1076,322,146
0,260,2338,366,15,410,347,172
0,259,2198,305,27,501,337,143
0,248,3039,366,97,724,315,110
1,236,3177,438,112,847,312,136
1,237,2468,378,71,1063,324,148
1,236,3177,438,112,847,312,136
0,266,2097,297,70,457,335,122
1,245,1928,286,36,736,324,144
1,232,4119,483,239,364,293,109
1,239,2060,322,53,1089,328,153
1,239,2060,322,53,1089,328,153
1,238,2312,356,61,1034,326,151
0,236,2744,415,87,1071,320,144
0,250,2236,347,16,519,334,159
1,239,2010,310,48,1073,330,156
0,253,1815,276,14,646,334,148
0,252,2331,382,11,535,355,193
0,236,2744,415,87,1071,320,144
1,258,2225,320,26,477,335,141
0,239,2010,310,48,1073,330,156
1,242,3839,409,237,417,304,109
0,262,2208,257,103,403,330,124
0,263,2257,245,106,376,330,123
0,249,2279,368,7,603,355,198
1,239,2040,314,49,1076,329,156
0,255,1700,265,14,697,341,157
0,238,2164,335,53,1059,327,153
0,236,2574,392,77,1039,322,147
0,238,2164,335,53,1059,327,153
1,231,2190,312,50,1076,322,160
0,237,2275,343,58,1023,325,154
0,255,2648,268,181,507,316,108
1,234,2811,422,89,1059,319,145
1,252,3290,400,131,522,319,111
0,241,3303,337,217,447,307,112
0,234,2811,422,89,1059,319,145
1,230,3030,415,117,704,307,136
0,243,3152,331,195,475,309,113
0,249,3324,403,136,527,316,110
0,235,2915,439,97,1068,319,142
1,254,2147,329,17,547,329,138
0,236,3177,438,112,847,312,136
1,256,2845,322,176,454,317,113
0,249,2230,347,16,524,334,159
